"Ngày","Đóng cửa","Mở cửa","Cao nhất","Thấp nhất","KL","% Thay đổi"
"21/07/2023","73,500.0","72,500.0","75,000.0","72,400.0","3.12M","1.10%"
"20/07/2023","72,700.0","72,600.0","72,900.0","72,300.0","2.45M","0.14%"
"19/07/2023","72,600.0","72,500.0","73,000.0","72,400.0","2.95M","0.28%"
"18/07/2023","72,400.0","72,500.0","72,600.0","72,200.0","2.93M","0.14%"
"17/07/2023","72,300.0","73,000.0","73,600.0","72,200.0","3.92M","-1.36%"
"14/07/2023","73,300.0","73,200.0","73,400.0","72,100.0","5.21M","0.27%"
"13/07/2023","73,100.0","73,400.0","73,800.0","72,900.0","3.78M","-0.54%"
"12/07/2023","73,500.0","72,900.0","73,500.0","72,600.0","4.20M","0.96%"
"11/07/2023","72,800.0","72,100.0","73,400.0","71,700.0","5.70M","0.97%"
"10/07/2023","72,100.0","71,400.0","72,700.0","71,200.0","6.17M","1.69%"
"07/07/2023","70,900.0","70,700.0","71,200.0","70,400.0","5.78M","0.57%"
"06/07/2023","70,500.0","69,900.0","70,700.0","69,800.0","7.63M","1.00%"
"05/07/2023","69,800.0","70,800.0","70,800.0","69,600.0","6.66M","-1.13%"
"04/07/2023","70,600.0","70,500.0","71,200.0","70,100.0","4.78M","-0.14%"
"03/07/2023","70,700.0","71,100.0","71,400.0","70,300.0","3.19M","-0.42%"
"30/06/2023","71,000.0","71,900.0","72,000.0","70,800.0","3.65M","-1.25%"
"29/06/2023","71,900.0","70,600.0","72,400.0","70,100.0","7.70M","1.84%"
"28/06/2023","70,600.0","70,500.0","70,900.0","69,700.0","6.15M","0.14%"
"27/06/2023","70,500.0","70,800.0","70,800.0","69,600.0","5.98M","-0.14%"
"26/06/2023","70,600.0","69,300.0","70,700.0","68,300.0","10.74M","2.17%"
"23/06/2023","69,100.0","67,000.0","69,500.0","67,000.0","11.96M","3.29%"
"22/06/2023","66,900.0","66,500.0","67,300.0","66,300.0","5.61M","0.90%"
"21/06/2023","66,300.0","65,600.0","66,300.0","65,500.0","3.49M","1.22%"
"20/06/2023","65,500.0","65,900.0","65,900.0","65,500.0","2.96M","-0.46%"
"19/06/2023","65,800.0","66,300.0","66,600.0","65,600.0","3.28M","-0.45%"
"16/06/2023","66,100.0","66,500.0","66,600.0","66,000.0","5.99M","-0.30%"
"15/06/2023","66,300.0","67,300.0","67,400.0","66,200.0","4.69M","-1.19%"
"14/06/2023","67,100.0","67,700.0","68,200.0","67,100.0","4.91M","-0.74%"
"13/06/2023","67,600.0","68,100.0","68,300.0","67,500.0","4.94M","-0.44%"
"12/06/2023","67,900.0","66,000.0","68,000.0","66,000.0","5.45M","3.19%"
"09/06/2023","65,800.0","65,600.0","66,500.0","65,500.0","2.08M","0.46%"
"08/06/2023","65,500.0","66,500.0","66,500.0","65,500.0","5.04M","-1.06%"
"07/06/2023","66,200.0","66,500.0","66,700.0","66,000.0","3.72M","-0.30%"
"06/06/2023","66,400.0","66,900.0","66,900.0","66,000.0","3.42M","-0.15%"
"05/06/2023","66,500.0","66,500.0","67,200.0","66,200.0","3.32M","0.91%"
"02/06/2023","65,900.0","66,200.0","66,300.0","65,500.0","2.97M","-0.30%"
"01/06/2023","66,100.0","66,100.0","66,500.0","66,000.0","1.21M","0.00%"
"31/05/2023","66,100.0","66,800.0","66,800.0","66,100.0","1.47M","-0.60%"
"30/05/2023","66,500.0","67,100.0","67,400.0","66,500.0","1.77M","-0.89%"
"29/05/2023","67,100.0","67,300.0","67,700.0","67,100.0","1.04M","0.00%"
"26/05/2023","67,100.0","67,400.0","68,000.0","67,100.0","904.50K","0.00%"
"25/05/2023","67,100.0","66,200.0","67,500.0","66,000.0","1.31M","1.21%"
"24/05/2023","66,300.0","67,100.0","67,400.0","66,100.0","2.35M","-1.04%"
"23/05/2023","67,000.0","68,000.0","68,400.0","67,000.0","2.94M","-1.76%"
"22/05/2023","68,200.0","68,700.0","69,000.0","68,200.0","1.70M","-0.58%"
"19/05/2023","68,600.0","69,400.0","69,500.0","68,600.0","1.20M","-0.87%"
"18/05/2023","69,200.0","69,000.0","70,000.0","68,500.0","2.50M","0.29%"
"17/05/2023","69,000.0","69,700.0","69,700.0","68,800.0","1.87M","-1.00%"
"16/05/2023","69,700.0","69,000.0","69,700.0","69,000.0","1.38M","1.01%"
"15/05/2023","69,000.0","69,900.0","69,900.0","69,000.0","1.54M","-0.86%"
"12/05/2023","69,600.0","70,400.0","70,400.0","69,500.0","1.21M","-0.57%"
"11/05/2023","70,000.0","70,500.0","70,900.0","70,000.0","447.30K","-0.71%"
"10/05/2023","70,500.0","70,800.0","71,100.0","70,500.0","951.60K","-0.28%"
"09/05/2023","70,700.0","70,800.0","71,000.0","70,500.0","871.30K","0.43%"
"08/05/2023","70,400.0","69,000.0","70,400.0","69,000.0","1.23M","2.33%"
"05/05/2023","68,800.0","68,600.0","69,200.0","68,600.0","712.20K","0.29%"
"04/05/2023","68,600.0","70,000.0","70,000.0","68,400.0","2.66M","-2.00%"
"28/04/2023","70,000.0","69,800.0","70,200.0","69,700.0","1.12M","0.72%"
"27/04/2023","69,500.0","71,000.0","71,000.0","69,500.0","1.37M","-2.11%"
"26/04/2023","71,000.0","70,000.0","71,000.0","70,000.0","941.60K","1.57%"
"25/04/2023","69,900.0","70,500.0","71,400.0","69,800.0","1.37M","-0.85%"
"24/04/2023","70,500.0","71,000.0","71,100.0","70,200.0","1.13M","-0.56%"
"21/04/2023","70,900.0","72,000.0","72,000.0","70,800.0","1.11M","-1.39%"
"20/04/2023","71,900.0","72,100.0","72,600.0","71,800.0","822.30K","-0.14%"
"19/04/2023","72,000.0","73,100.0","73,100.0","72,000.0","816.30K","-1.37%"
"18/04/2023","73,000.0","71,800.0","73,000.0","71,800.0","931.80K","1.81%"
"17/04/2023","71,700.0","72,800.0","72,900.0","71,700.0","1.37M","-1.51%"
"14/04/2023","72,800.0","73,600.0","73,700.0","72,800.0","1.29M","-0.95%"
"13/04/2023","73,500.0","74,300.0","74,400.0","73,500.0","889.60K","-1.08%"
"12/04/2023","74,300.0","74,400.0","74,400.0","74,000.0","979.10K","-0.13%"
"11/04/2023","74,400.0","74,300.0","74,500.0","74,100.0","782.80K","0.00%"
"10/04/2023","74,400.0","74,700.0","74,700.0","74,400.0","832.70K","-0.40%"
"07/04/2023","74,700.0","74,400.0","74,700.0","74,300.0","794.40K","0.54%"
"06/04/2023","74,300.0","74,400.0","74,600.0","74,300.0","905.60K","-0.27%"
"05/04/2023","74,500.0","74,200.0","74,800.0","74,100.0","963.40K","0.40%"
"04/04/2023","74,200.0","74,400.0","74,500.0","74,200.0","1.82M","-0.27%"
"03/04/2023","74,400.0","74,600.0","74,900.0","74,200.0","850.60K","0.00%"
"31/03/2023","74,400.0","75,000.0","75,400.0","74,400.0","1.08M","-0.80%"
"30/03/2023","75,000.0","74,700.0","75,400.0","74,600.0","838.70K","0.13%"
"29/03/2023","74,900.0","74,700.0","74,900.0","74,400.0","907.40K","0.67%"
"28/03/2023","74,400.0","74,500.0","75,300.0","74,400.0","1.65M","-0.27%"
"27/03/2023","74,600.0","75,000.0","75,000.0","74,300.0","1.37M","-0.53%"
"24/03/2023","75,000.0","75,000.0","75,500.0","74,800.0","932.30K","-0.40%"
"23/03/2023","75,300.0","74,300.0","75,300.0","74,000.0","1.29M","1.21%"
"22/03/2023","74,400.0","74,600.0","74,700.0","74,400.0","900.20K","0.00%"
"21/03/2023","74,400.0","74,400.0","75,100.0","74,200.0","1.35M","0.13%"
"20/03/2023","74,300.0","75,000.0","75,000.0","74,100.0","1.61M","-0.27%"
"17/03/2023","74,500.0","76,400.0","76,400.0","74,500.0","2.43M","-2.49%"
"16/03/2023","76,400.0","77,000.0","77,100.0","75,900.0","1.53M","-0.91%"
"15/03/2023","77,100.0","76,600.0","77,300.0","76,500.0","1.96M","0.65%"
"14/03/2023","76,600.0","76,300.0","76,900.0","75,600.0","1.74M","-0.39%"
"13/03/2023","76,900.0","76,800.0","77,100.0","76,600.0","1.82M","0.00%"
"10/03/2023","76,900.0","76,500.0","77,200.0","76,100.0","1.43M","0.52%"
"09/03/2023","76,500.0","76,200.0","77,100.0","76,200.0","1.39M","0.00%"
"08/03/2023","76,500.0","75,200.0","76,500.0","75,000.0","1.24M","0.92%"
"07/03/2023","75,800.0","75,900.0","76,200.0","75,500.0","1.17M","1.07%"
"06/03/2023","75,000.0","76,000.0","76,600.0","75,000.0","891.80K","-1.32%"
"03/03/2023","76,000.0","75,000.0","76,800.0","75,000.0","704.20K","-0.65%"
"02/03/2023","76,500.0","76,900.0","76,900.0","76,100.0","1.09M","-0.52%"
